id,role
SpaceX,USA
Jet Propulsion Laboratory,USA
Armstrong Flight Research Center,USA
Federal Aviation Administration,USA
US National Aeronautics and Space Administration (NASA),USA
Naked Science,USA
Starlink,USA
Space Research Center,USA
Kennedy Space Center,USA
SpaceNews,USA
Blue Origin,USA
United Launch Alliance,USA
Marshall Space Flight Center,USA
Virgin Galactic,USA
Rocket Lab,USA
Leonardo,UK
UK space agency,UK
Meggitt PLC,UK
European Space Agency ESA,Europe
ClearSpace,Europe
Italian Space Agency (Agenzia Spaziale Italiana),Italy
Safran,France
Guiana Space Center,France
Roscosmos,Russia
Japan Aerospace Exploration Agency,Japan
